group,exp_name,model,arch,patch,lr,loss
C,GC_0158_T_deformable_attn_p128_lr1e-04_L1SSIM,T,deformable_attn,128,0.0001,L1+SSIM
C,GC_0159_T_deformable_attn_p128_lr1e-04_L1PercSSIMFreq,T,deformable_attn,128,0.0001,L1+Perc+SSIM+Freq
C,GC_0160_T_deformable_attn_p128_lr2e-04_L1,T,deformable_attn,128,0.0002,L1
C,GC_0161_T_deformable_attn_p128_lr2e-04_L1Perc,T,deformable_attn,128,0.0002,L1+Perc
C,GC_0162_T_deformable_attn_p128_lr2e-04_L1SSIM,T,deformable_attn,128,0.0002,L1+SSIM
C,GC_0163_T_deformable_attn_p128_lr2e-04_L1PercSSIMFreq,T,deformable_attn,128,0.0002,L1+Perc+SSIM+Freq
C,GC_0164_T_deformable_attn_p128_lr4e-04_L1,T,deformable_attn,128,0.0004,L1
C,GC_0165_T_deformable_attn_p128_lr4e-04_L1Perc,T,deformable_attn,128,0.0004,L1+Perc
C,GC_0166_T_deformable_attn_p128_lr4e-04_L1SSIM,T,deformable_attn,128,0.0004,L1+SSIM
C,GC_0167_T_deformable_attn_p128_lr4e-04_L1PercSSIMFreq,T,deformable_attn,128,0.0004,L1+Perc+SSIM+Freq
C,GC_0168_T_deformable_attn_p256_lr1e-04_L1,T,deformable_attn,256,0.0001,L1
C,GC_0169_T_deformable_attn_p256_lr1e-04_L1Perc,T,deformable_attn,256,0.0001,L1+Perc
C,GC_0170_T_deformable_attn_p256_lr1e-04_L1SSIM,T,deformable_attn,256,0.0001,L1+SSIM
C,GC_0171_T_deformable_attn_p256_lr1e-04_L1PercSSIMFreq,T,deformable_attn,256,0.0001,L1+Perc+SSIM+Freq
C,GC_0172_T_deformable_attn_p256_lr2e-04_L1,T,deformable_attn,256,0.0002,L1
C,GC_0173_T_deformable_attn_p256_lr2e-04_L1Perc,T,deformable_attn,256,0.0002,L1+Perc
C,GC_0174_T_deformable_attn_p256_lr2e-04_L1SSIM,T,deformable_attn,256,0.0002,L1+SSIM
C,GC_0175_T_deformable_attn_p256_lr2e-04_L1PercSSIMFreq,T,deformable_attn,256,0.0002,L1+Perc+SSIM+Freq
